# Lining the impacts CSV up with the video.
#
# t_ms            this take's own clock - the column the impacts CSV also stamps
# obs_duration_ms OBS's output clock at that instant, in milliseconds
# rtt_ms          how long the round trip took, and so how much the row is worth
#
# video_time_ms = t_ms + offset. Fit the offset through the low-rtt rows rather
# than taking the first one: over a long take the two clocks drift apart, and a
# piecewise fit follows that where a single number cannot.
#
# Written by the devbench, which drove the recording itself - so the mp4 beside
# this file is OBS's whole output and the fitted offset needs no cut subtracted
# out of it. t_ms comes off the game's session clock read across the link, so a
# millisecond or two of the intercept is the socket rather than the picture; the
# slope is unaffected, because that error is the same on every row.
t_ms,obs_duration_ms,rtt_ms
225,0,0
1226,749,0
2227,1749,0
3227,2733,0
4228,3733,0
5230,4733,0
6247,5766,0
7248,6766,0
8248,7766,0
9249,8766,0
10250,9766,0
11251,10766,0
12252,11783,0
13253,12766,0
14254,13766,0
15255,14766,0
16255,15766,0
17256,16766,0
18257,17766,0
19258,18766,0
20259,19783,0
21260,20783,0
22261,21783,0
23261,22783,0
24262,23783,0
25263,24766,0
26264,25766,0
27265,26766,0
27516,27033,0
