seq,t_ms,game_hour,event,phase,actor,actor_id,limb,limb_index,impact_speed,normal_speed,tangent_speed,body_speed,angular_speed,mass,limb_radius,pos_x,pos_y,pos_z,nrm_x,nrm_y,nrm_z,vel_x,vel_y,vel_z,other_layer,other_material,material_source,other_body,other_limb,manifold_first,manifold_last,dropped,state
1,7893.357,0.0000,state,unknown,Eldawyn,15077EF4,-,-,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,0,ragdoll_start
2,7898.297,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC R Foot [Rft ],8,55.274,55.274,4.153,42.314,5.187,3.2400,10.811,-370.737,977.660,-191.650,-0.0000,0.0000,1.0000,11.244,17.287,-36.949,Static,Wood,shape,0000020E27FEAB00,-,1,1,0,-
3,7898.302,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC L Forearm [LLar],14,13.818,13.818,70.409,96.715,11.213,2.1600,12.590,-388.416,981.832,-102.509,-0.9838,0.1784,0.0176,53.722,79.721,-10.595,-,Skin,shape,0000020E2DAF6200,6,1,1,0,-
4,7898.302,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC Spine1 [Spn1],6,13.818,13.818,70.409,100.461,0.952,4.3200,20.389,-388.416,981.832,-102.509,-0.9838,0.1784,0.0176,58.254,80.639,14.007,-,Skin,shape,0000020E2DAF4A00,14,1,1,0,-
5,7898.305,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC R Forearm [RLar],15,10.002,10.002,87.043,101.026,8.107,6.4800,12.590,-367.584,969.403,-114.140,0.8449,-0.4525,0.2854,52.823,85.092,-13.243,-,-,-,0000020E2DAF7A00,0,1,1,0,-
6,7898.305,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC COM [COM ],0,10.002,10.002,87.043,30.266,5.410,43.2000,19.410,-367.584,969.403,-114.140,0.8449,-0.4525,0.2854,14.373,21.558,-15.642,-,Skin,shape,0000020E2DAF5300,15,1,1,0,-
7,7898.305,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC R Forearm [RLar],15,17.232,17.232,109.938,101.026,8.107,6.4800,12.590,-364.787,970.655,-122.371,0.7125,-0.4220,0.5607,52.823,85.092,-13.243,-,Skin,shape,0000020E2DAF6E00,2,1,1,0,-
8,7898.305,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC R Thigh [RThg],2,17.232,17.232,109.938,64.060,1.727,6.4800,22.126,-364.787,970.655,-122.371,0.7125,-0.4220,0.5607,41.089,48.906,-4.852,-,Skin,shape,0000020E2DAF5300,15,1,1,0,-
9,7898.306,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC R Forearm [RLar],15,13.687,13.687,58.547,101.026,8.107,6.4800,12.590,-365.016,969.689,-112.121,0.7121,-0.6792,0.1780,52.823,85.092,-13.243,-,Skin,shape,0000020E2DAF6500,3,1,1,0,-
10,7898.306,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC Spine [Spn0],3,13.687,13.687,58.547,72.379,3.984,4.3200,18.680,-365.016,969.689,-112.121,0.7121,-0.6792,0.1780,43.028,58.125,-2.955,-,Skin,shape,0000020E2DAF5300,15,1,1,0,-
11,7898.307,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC R Hand [RHnd],17,8.853,8.853,94.658,45.178,12.092,4.3200,9.000,-363.362,970.958,-125.104,0.9041,-0.3812,0.1933,15.177,12.293,-40.738,-,Skin,shape,0000020E2DAF6E00,2,1,1,0,-
12,7898.307,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC R Thigh [RThg],2,8.853,8.853,94.658,64.060,1.727,6.4800,22.126,-363.362,970.958,-125.104,0.9041,-0.3812,0.1933,41.089,48.906,-4.852,-,Skin,shape,0000020E2DAF5000,17,1,1,0,-
13,7924.014,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC L Foot [Lft ],7,81.726,81.726,265.063,233.312,6.363,3.2400,10.812,-368.044,1001.575,-191.650,-0.0000,-0.0000,1.0000,125.816,171.849,-95.251,Static,Wood,shape,0000020E27FEAB00,-,1,1,0,-
14,7990.533,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC L Calf [LClf],5,151.211,151.211,103.952,154.595,3.366,6.4800,21.249,-366.352,1003.849,-191.650,0.0000,-0.0000,1.0000,20.815,27.030,-150.784,Static,Wood,shape,0000020E27FEAB00,-,1,1,0,-
15,7990.536,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC R Thigh [RThg],2,104.140,104.140,105.960,104.893,4.980,6.4800,22.126,-366.660,994.040,-151.167,-0.0041,-0.9973,-0.0739,61.451,78.324,-33.041,-,Skin,shape,0000020E2DAF7700,1,0,1,0,-
16,7990.536,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC L Thigh [LThg],1,104.140,104.140,105.960,106.210,10.157,6.4800,22.126,-366.660,994.040,-151.167,-0.0041,-0.9973,-0.0739,27.086,23.268,-100.027,-,Skin,shape,0000020E2DAF6E00,2,0,1,0,-
17,7991.156,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC R Hand [RHnd],17,46.758,46.758,107.707,65.708,8.838,4.3200,9.000,-363.171,976.301,-121.563,0.8043,-0.4753,-0.3567,9.305,60.944,-22.732,-,-,-,0000020E2DAF7A00,0,1,1,0,-
18,7991.157,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC COM [COM ],0,46.758,46.758,107.707,100.108,2.110,43.2000,19.410,-363.171,976.301,-121.563,0.8043,-0.4753,-0.3567,57.791,77.491,-26.018,-,Skin,shape,0000020E2DAF5000,17,1,1,0,-
19,8013.001,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC L Foot [Lft ],7,29.140,29.140,28.211,33.565,6.144,3.2400,10.812,-364.170,1007.973,-191.650,0.0000,0.0000,1.0000,-5.950,4.226,-32.762,Static,Wood,shape,0000020E27FEAB00,-,0,1,0,-
20,8217.101,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC R Hand [RHnd],17,22.348,22.348,114.749,366.435,9.370,4.3200,9.000,-330.306,1021.015,-121.498,-0.1150,-0.9904,-0.0767,211.374,292.624,-62.978,-,Skin,shape,0000020E2DAF6200,6,1,1,0,-
21,8217.103,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC Spine1 [Spn1],6,22.348,22.348,114.749,388.746,3.344,4.3200,20.389,-330.306,1021.015,-121.498,-0.1150,-0.9904,-0.0767,219.735,278.219,-159.480,-,Skin,shape,0000020E2DAF5000,17,1,1,0,-
22,8311.330,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC L Forearm [LLar],14,37.673,37.673,47.328,421.301,5.396,2.1600,12.590,-323.105,1059.998,-127.715,-0.2964,0.3315,0.8957,243.914,270.685,-211.493,-,Skin,shape,0000020E2DAF6200,6,1,1,0,-
23,8311.331,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC Spine1 [Spn1],6,37.673,37.673,47.328,354.177,4.378,4.3200,20.389,-323.105,1059.998,-127.715,-0.2964,0.3315,0.8957,165.694,249.605,-188.903,-,Skin,shape,0000020E2DAF4A00,14,1,1,0,-
24,8311.993,0.0000,impact,ragdoll,Eldawyn,15077EF4,NPC L Forearm [LLar],14,21.259,21.259,59.306,412.531,5.090,2.1600,12.590,-327.853,1052.650,-127.407,0.1298,0.4650,0.8757,219.505,281.821,-206.339,-,-,-,0000020E2DAF7A00,0,1,1,0,-
