seq,t_ms,game_hour,event,phase,actor,actor_id,limb,limb_index,impact_speed,normal_speed,tangent_speed,body_speed,angular_speed,mass,limb_radius,pos_x,pos_y,pos_z,nrm_x,nrm_y,nrm_z,vel_x,vel_y,vel_z,other_layer,other_material,material_source,other_body,other_limb,manifold_first,manifold_last,dropped,state
19,3.088,0.0000,state,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,-,-,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
20,3.088,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC COM [COM ],0,0.000,0.000,0.000,5.249,0.328,51.5000,18.217,-247.629,-227.087,-254.619,0.0000,0.0000,0.0000,2.853,-2.279,-3.770,-,-,-,0000000000000000,-,0,0,-,session_start
21,3.089,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC L Thigh [LThg],1,0.000,0.000,0.000,5.135,0.362,6.1800,21.102,-244.680,-221.883,-254.458,0.0000,0.0000,0.0000,2.499,-0.334,-4.473,-,-,-,0000000000000000,-,0,0,-,session_start
22,3.089,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC R Thigh [RThg],2,0.000,0.000,0.000,11.137,0.878,6.1800,21.101,-249.232,-233.803,-253.824,0.0000,0.0000,0.0000,3.291,1.698,10.503,-,-,-,0000000000000000,-,0,0,-,session_start
23,3.089,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC Spine [Spn0],3,0.000,0.000,0.000,6.851,0.267,4.1200,17.816,-252.100,-223.965,-250.813,0.0000,0.0000,0.0000,3.941,-3.712,-4.199,-,-,-,0000000000000000,-,0,0,-,session_start
24,3.089,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC R Calf [RClf],4,0.000,0.000,0.000,25.018,0.437,6.1800,20.265,-237.067,-242.708,-282.203,0.0000,0.0000,0.0000,12.714,-5.387,20.862,-,-,-,0000000000000000,-,0,0,-,session_start
25,3.089,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC L Calf [LClf],5,0.000,0.000,0.000,4.501,0.346,6.1800,20.265,-250.451,-220.205,-285.444,0.0000,0.0000,0.0000,2.302,-2.800,-2.668,-,-,-,0000000000000000,-,0,0,-,session_start
26,3.090,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC Spine1 [Spn1],6,0.000,0.000,0.000,8.663,0.248,4.1200,19.445,-252.382,-223.832,-241.785,0.0000,0.0000,0.0000,4.937,-6.037,-3.772,-,-,-,0000000000000000,-,0,0,-,session_start
27,3.090,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC L Foot [Lft ],7,0.000,0.000,0.000,2.898,0.305,3.0900,10.311,-264.282,-212.908,-308.489,0.0000,0.0000,0.0000,-0.878,-2.729,-0.421,-,-,-,0000000000000000,-,0,0,-,session_start
28,3.090,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC R Foot [Rft ],8,0.000,0.000,0.000,20.738,2.747,3.0900,10.311,-230.527,-246.898,-309.314,0.0000,0.0000,0.0000,18.116,-3.701,9.390,-,-,-,0000000000000000,-,0,0,-,session_start
29,3.090,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC Spine2 [Spn2],9,0.000,0.000,0.000,10.609,0.204,7.2100,23.744,-252.866,-223.519,-231.572,0.0000,0.0000,0.0000,6.465,-7.859,-2.998,-,-,-,0000000000000000,-,0,0,-,session_start
30,3.090,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC L UpperArm [LUar],10,0.000,0.000,0.000,8.972,0.152,2.0600,14.897,-238.527,-216.909,-215.158,0.0000,0.0000,0.0000,5.292,-7.186,-0.920,-,-,-,0000000000000000,-,0,0,-,session_start
31,3.090,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC Neck [Neck],11,0.000,0.000,0.000,11.174,0.250,6.1800,8.684,-247.120,-228.742,-210.016,0.0000,0.0000,0.0000,7.431,-7.647,-3.340,-,-,-,0000000000000000,-,0,0,-,session_start
32,3.090,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC R UpperArm [RUar],12,0.000,0.000,0.000,12.916,0.208,2.0600,14.897,-259.880,-235.363,-213.650,0.0000,0.0000,0.0000,8.146,-9.536,-3.086,-,-,-,0000000000000000,-,0,0,-,session_start
33,3.090,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC Head [Head],13,0.000,0.000,0.000,9.718,0.281,4.1200,15.561,-245.341,-229.110,-201.081,0.0000,0.0000,0.0000,7.082,-5.768,-3.318,-,-,-,0000000000000000,-,0,0,-,session_start
34,3.091,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC L Forearm [LLar],14,0.000,0.000,0.000,7.202,0.226,2.0600,12.007,-232.869,-212.879,-234.560,0.0000,0.0000,0.0000,5.591,-4.540,0.046,-,-,-,0000000000000000,-,0,0,-,session_start
35,3.091,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC R Forearm [RLar],15,0.000,0.000,0.000,11.522,0.135,6.1800,12.007,-270.760,-234.283,-231.326,0.0000,0.0000,0.0000,7.794,-8.005,-2.816,-,-,-,0000000000000000,-,0,0,-,session_start
36,3.091,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC L Hand [LHnd],16,0.000,0.000,0.000,7.061,0.081,4.1200,8.584,-223.905,-219.432,-246.831,0.0000,0.0000,0.0000,6.503,-2.749,-0.118,-,-,-,0000000000000000,-,0,0,-,session_start
37,3.091,0.0000,limb_sample,unknown,Lennald the Brash [Whiterun Guard],000D0FF6,NPC R Hand [RHnd],17,0.000,0.000,0.000,10.587,0.208,4.1200,8.584,-273.632,-236.679,-247.617,0.0000,0.0000,0.0000,7.331,-7.041,-2.959,-,-,-,0000000000000000,-,0,0,-,session_start
