seq,t_ms,game_hour,event,phase,actor,actor_id,limb,limb_index,impact_speed,normal_speed,tangent_speed,body_speed,angular_speed,mass,limb_radius,pos_x,pos_y,pos_z,nrm_x,nrm_y,nrm_z,vel_x,vel_y,vel_z,other_layer,other_material,material_source,other_body,other_limb,manifold_first,manifold_last,dropped,state
1,100.000,0.0000,state,unknown,Nazeem,0001A6A4,-,-,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,0,ragdoll_start
2,103.774,0.0000,impact,ragdoll,Nazeem,0001A6A4,NPC L Foot [Lft ],7,21.382,21.382,36.754,53.153,7.193,3.0150,10.061,-312.675,1633.284,-287.650,-0.0000,0.0000,1.0000,-7.346,30.742,-42.734,Static,Wood,shape,000001E7BB956E00,-,1,1,0,-
3,103.777,0.0000,impact,ragdoll,Nazeem,0001A6A4,NPC R Foot [Rft ],8,21.045,21.045,19.621,38.216,9.539,3.0150,10.061,-312.000,1665.207,-287.650,0.0000,0.0000,1.0000,-24.636,27.868,8.766,Static,Wood,shape,000001E7BB956E00,-,1,1,0,-
4,103.777,0.0000,impact,ragdoll,Nazeem,0001A6A4,NPC R Foot [Rft ],8,21.045,21.045,12.091,38.216,9.539,3.0150,10.061,-312.000,1665.207,-286.312,0.0000,-0.0000,1.0000,-24.636,27.868,8.766,Static,Carpet,shape,000001E85C54DF00,-,1,1,0,-
5,103.779,0.0000,impact,ragdoll,Nazeem,0001A6A4,NPC L Forearm [LLar],14,11.874,11.874,59.756,36.991,4.881,2.0100,11.716,-291.766,1635.133,-205.360,0.5969,-0.8015,-0.0364,29.400,-22.227,3.156,-,Skin,shape,000001E37A748700,6,1,1,0,-
6,103.779,0.0000,impact,ragdoll,Nazeem,0001A6A4,NPC Spine1 [Spn1],6,11.874,11.874,59.756,45.991,0.863,4.0200,18.973,-291.766,1635.133,-205.360,0.5969,-0.8015,-0.0364,-20.170,-40.340,9.003,-,Skin,shape,000001EAB5092E00,14,1,1,0,-
7,103.780,0.0000,impact,ragdoll,Nazeem,0001A6A4,NPC R Forearm [RLar],15,17.322,17.322,140.660,39.766,6.968,6.0300,11.716,-304.927,1655.907,-221.297,-0.5684,0.7740,0.2791,-20.243,-31.983,-12.191,-,-,-,000001E37A749F00,0,1,1,0,-
8,103.781,0.0000,impact,ragdoll,Nazeem,0001A6A4,NPC COM [COM ],0,17.322,17.322,140.660,9.549,8.424,50.2500,17.775,-304.927,1655.907,-221.297,-0.5684,0.7740,0.2791,-1.447,5.393,-7.746,-,Skin,shape,000001EAB5093700,15,1,1,0,-
9,103.781,0.0000,impact,ragdoll,Nazeem,0001A6A4,NPC R Forearm [RLar],15,41.469,41.469,115.378,39.766,6.968,6.0300,11.716,-306.413,1657.875,-223.250,-0.4928,0.6774,0.5462,-20.243,-31.983,-12.191,-,Skin,shape,000001E37A749300,2,1,1,0,-
10,103.781,0.0000,impact,ragdoll,Nazeem,0001A6A4,NPC R Thigh [RThg],2,41.469,41.469,115.378,55.282,4.218,6.0300,20.589,-306.413,1657.875,-223.250,-0.4928,0.6774,0.5462,-6.246,-22.953,49.902,-,Skin,shape,000001EAB5093700,15,1,1,0,-
