seq,t_ms,game_hour,event,phase,actor,actor_id,limb,limb_index,impact_speed,normal_speed,tangent_speed,body_speed,angular_speed,mass,limb_radius,pos_x,pos_y,pos_z,nrm_x,nrm_y,nrm_z,vel_x,vel_y,vel_z,other_layer,other_material,material_source,other_body,other_limb,manifold_first,manifold_last,dropped,state
1,100.002,0.0000,state,unknown,Proventus Avenicci,0001A67D,-,-,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,0,ragdoll_start
2,104.593,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC R Thigh [RThg],2,12.509,12.509,54.852,59.125,2.696,6.0000,20.487,-725.099,461.392,-282.070,0.7101,-0.6373,0.2994,-4.851,31.625,-49.720,-,Skin,shape,000001E0B7713700,5,1,1,0,-
3,104.594,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Calf [LClf],5,12.509,12.509,54.852,86.096,2.446,6.0000,19.675,-725.099,461.392,-282.070,0.7101,-0.6373,0.2994,-4.932,84.635,15.002,-,Skin,shape,000001E0B7713100,2,1,1,0,-
4,104.596,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC R Calf [RClf],4,5.225,5.225,80.087,68.384,4.478,6.0000,19.675,-727.472,452.069,-301.702,0.9950,-0.0328,-0.0947,-14.220,31.110,-59.215,-,Skin,shape,000001E0B7713700,5,0,0,0,-
5,104.596,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Calf [LClf],5,5.225,5.225,80.087,86.096,2.446,6.0000,19.675,-727.472,452.069,-301.702,0.9950,-0.0328,-0.0947,-4.932,84.635,15.002,-,Skin,shape,000001E0B7712E00,4,0,0,0,-
6,104.596,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC R Calf [RClf],4,5.794,5.794,91.870,68.384,4.478,6.0000,19.675,-725.127,459.610,-286.310,0.8512,-0.4974,0.1674,-14.220,31.110,-59.215,-,Skin,shape,000001E0B7713700,5,0,1,0,-
7,104.596,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Calf [LClf],5,5.794,5.794,91.870,86.096,2.446,6.0000,19.675,-725.127,459.610,-286.310,0.8512,-0.4974,0.1674,-4.932,84.635,15.002,-,Skin,shape,000001E0B7712E00,4,0,1,0,-
8,104.600,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC R Foot [Rft ],8,45.202,45.202,96.834,69.004,11.938,3.0000,10.011,-715.507,458.271,-319.650,-0.0000,0.0000,1.0000,-45.816,-3.291,-51.493,Static,Wood,shape,000001DFDC427A00,-,1,1,0,-
9,104.601,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC R Foot [Rft ],8,45.202,45.202,78.763,69.004,11.938,3.0000,10.011,-715.507,458.271,-318.000,-0.0000,0.0000,1.0000,-45.816,-3.291,-51.493,Static,Carpet,shape,000001E0B29CB100,-,1,1,0,-
10,104.604,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Forearm [LLar],14,21.309,21.309,86.884,61.915,5.879,2.0000,11.658,-733.924,458.279,-248.974,-0.8735,0.2978,0.3853,38.447,48.419,-3.316,-,-,-,000001E0B7713D00,0,1,1,0,-
