seq,t_ms,game_hour,event,phase,actor,actor_id,limb,limb_index,impact_speed,normal_speed,tangent_speed,body_speed,angular_speed,mass,limb_radius,pos_x,pos_y,pos_z,nrm_x,nrm_y,nrm_z,vel_x,vel_y,vel_z,other_layer,other_material,material_source,other_body,other_limb,manifold_first,manifold_last,dropped,state
1,100.000,0.0000,state,unknown,Proventus Avenicci,0001A67D,-,-,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,0,ragdoll_start
2,104.994,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Foot [Lft ],7,50.679,50.679,21.460,56.282,4.687,3.0000,10.011,-497.296,1470.323,-78.000,-0.0000,-0.0000,1.0000,-16.719,-5.161,-53.493,Static,Carpet,shape,000001E85C4DA500,-,1,1,0,-
3,104.996,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC R Foot [Rft ],8,45.193,45.193,47.072,54.259,2.578,3.0000,10.011,-498.244,1435.598,-78.000,0.0000,0.0000,1.0000,-34.391,-17.456,-38.166,Static,Carpet,shape,000001E85C4DA500,-,1,1,0,-
4,104.997,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC R Foot [Rft ],8,45.193,45.193,51.092,54.259,2.578,3.0000,10.011,-498.244,1435.598,-79.650,0.0000,0.0000,1.0000,-34.391,-17.456,-38.166,Static,Wood,shape,000001E85C2B8700,-,1,1,0,-
5,105.000,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Forearm [LLar],14,12.696,12.696,48.393,48.210,3.313,2.0000,11.658,-505.803,1463.342,-3.669,-0.1883,0.9700,0.1539,45.058,16.346,-5.169,-,Skin,shape,000001E8A57EE800,3,1,1,0,-
6,105.000,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC Spine [Spn0],3,12.696,12.696,48.393,96.639,1.252,4.0000,17.297,-505.803,1463.342,-3.669,-0.1883,0.9700,0.1539,76.326,25.392,53.560,-,Skin,shape,000001E8A57ECD00,14,1,1,0,-
7,105.003,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Hand [LHnd],16,7.011,7.011,117.699,27.336,13.485,4.0000,8.334,-504.936,1463.232,-13.407,0.0261,0.9989,0.0378,-12.857,-5.452,-23.499,-,-,-,000001E8A57EFD00,0,1,1,0,-
8,105.003,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC COM [COM ],0,7.011,7.011,117.699,9.983,14.165,50.0000,17.687,-504.936,1463.232,-13.407,0.0261,0.9989,0.0378,-1.529,0.548,-9.850,-,Skin,shape,000001E8A57ECA00,16,1,1,0,-
9,129.706,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Foot [Lft ],7,56.245,56.245,95.458,14.491,16.471,3.0000,10.011,-497.337,1470.302,-79.650,-0.0000,0.0000,1.0000,-3.557,1.131,-14.002,Static,Wood,shape,000001E85C2B8700,-,1,1,0,-
10,130.175,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Hand [LHnd],16,62.950,62.950,127.382,23.346,11.745,4.0000,8.334,-503.349,1463.540,-8.929,-0.1391,0.9099,-0.3907,-20.647,-10.720,1.944,-,Skin,shape,000001E8A57EE800,3,1,1,0,-
