# Lining the impacts CSV up with the video.
#
# t_ms            this take's own clock - the column the impacts CSV also stamps
# obs_duration_ms OBS's output clock at that instant, in milliseconds
# rtt_ms          how long the round trip took, and so how much the row is worth
#
# video_time_ms = t_ms + offset. Fit the offset through the low-rtt rows rather
# than taking the first one: over a long take the two clocks drift apart, and a
# piecewise fit follows that where a single number cannot.
#
# Written by the devbench, which drove the recording itself - so the mp4 beside
# this file is OBS's whole output and the fitted offset needs no cut subtracted
# out of it. t_ms comes off the game's session clock read across the link, so a
# millisecond or two of the intercept is the socket rather than the picture; the
# slope is unaffected, because that error is the same on every row.
t_ms,obs_duration_ms,rtt_ms
-3969,0,0
-2969,749,0
-1968,1749,0
-967,2749,0
34,3733,0
1035,4733,0
2035,5733,0
3036,6733,0
4037,7749,0
5038,8749,0
6039,9749,0
7040,10749,0
8040,11749,0
9041,12749,0
10042,13766,0
11043,14749,0
12044,15749,0
13045,16749,0
14046,17749,0
15047,18749,0
16047,19749,0
17048,20749,0
18049,21766,0
19050,22766,0
20051,23766,0
21052,24766,0
22053,25766,0
23053,26749,0
24054,27749,0
25055,28749,0
26056,29766,0
27057,30766,0
28058,31766,0
29059,32766,0
30059,33766,0
31060,34766,0
32061,35783,0
33062,36783,0
34063,37766,0
35064,38783,0
36065,39766,0
37066,40766,0
38066,41766,0
39067,42766,0
40068,43783,0
41069,44783,0
42070,45783,0
43071,46783,0
44071,47783,0
45072,48783,0
46073,49783,0
47074,50783,0
48075,51783,0
49076,52783,0
50077,53783,0
51077,54783,0
52078,55783,0
53079,56783,0
54080,57783,0
55081,58799,0
56082,59799,0
57083,60799,0
57450,61166,0
