# What vanilla's own impact system played during this take.
#
# One row per collision the ragdoll path resolved to a sound, observed at the
# moment of the play rather than modelled afterwards. Times share this take's
# clock: the same t_ms the impacts CSV stamps.
#
# descriptor      the SNDR that fired - the name its wav files are found under
# branch          light = SNAM, heavy = NAM1. Vanilla's own loudness decision,
#                 which it makes on (NAM1 exists && magnitude >= threshold)
# heard           1 = it sounded, 0 = we dropped it and played ours instead
# static_atten_db the descriptor's fixed attenuation, in dB
# db_variance     +/- dB the audio engine rolls per play. NOT the roll itself
# files           how many wavs the descriptor picks between, uniformly
#
# What is deliberately absent: which of `files` was drawn, and what
# db_variance and freq_variance actually rolled. Both happen inside
# BSAudioManager after the sound handle is built and are not readable from
# outside it. A row says "one of N files, at this level, plus or minus this
# much" - it does not say which one, and anything reading it must not pretend
# otherwise.
seq,t_ms,descriptor,descriptor_id,impact_id,branch,heard,sound_level,static_atten_db,db_variance,freq_shift,freq_variance,priority,files,pos_x,pos_y,pos_z
1,104.355,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-168.711,262.203,-319.650
2,280.761,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-160.238,262.509,-319.650
3,571.161,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-199.782,197.167,-319.650
4,571.504,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,-206.112,155.103,-303.491
5,571.518,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,-196.841,147.691,-296.265
6,571.519,-,0003F2D3,000388FD,heavy,0,1,5.29,0,0,2,128,2,-196.841,147.691,-296.265
7,571.860,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,-209.762,173.866,-318.000
8,712.837,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-187.229,146.138,-283.027
9,712.840,-,0003F2D6,000388FD,light,0,1,9.25,0,0,2,128,2,-187.229,146.138,-283.027
10,712.847,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,-173.913,148.778,-303.468
11,772.983,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-272.767,143.958,-318.300
12,1006.542,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-173.298,182.902,-319.650
13,1430.826,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-262.192,182.150,-318.000
14,1431.643,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-133.704,182.212,-319.650
15,1593.173,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-258.866,178.292,-318.000
16,1639.524,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-176.804,183.033,-319.650
17,1663.621,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,-205.429,148.864,-303.558
18,1756.166,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,-196.812,147.057,-290.626
19,1756.169,-,0003F2D3,000388FD,heavy,0,1,5.29,0,0,2,128,2,-196.812,147.057,-290.626
20,1756.172,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-253.819,181.945,-318.000
21,1801.779,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-242.858,154.997,-319.650
22,1824.169,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,-206.417,154.822,-303.663
23,1912.301,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-196.806,147.396,-293.554
24,1912.304,-,0003F2D6,000388FD,light,0,1,9.25,0,0,2,128,2,-196.806,147.396,-293.554
25,1912.307,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-247.519,182.649,-318.000
26,2081.972,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-196.775,147.418,-293.644
27,2081.975,-,0003F2D6,000388FD,light,0,1,9.25,0,0,2,128,2,-196.775,147.418,-293.644
28,2197.039,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-207.629,199.382,-319.016
29,2218.344,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-197.018,210.478,-319.650
30,2262.324,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-196.766,147.287,-292.486
31,2262.326,-,0003F2D6,000388FD,light,0,1,9.25,0,0,2,128,2,-196.766,147.287,-292.486
32,2284.483,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,-206.340,154.899,-303.517
33,2346.261,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,-209.188,205.542,-317.923
34,2366.467,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-206.331,204.219,-319.650
35,2407.338,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-196.789,146.887,-289.072
36,2407.341,-,0003F2D6,000388FD,light,0,1,9.25,0,0,2,128,2,-196.789,146.887,-289.072
37,2449.397,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,-205.985,155.191,-303.650
38,2538.550,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-235.866,173.791,-318.000
39,2561.386,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-186.894,206.428,-319.650
40,2583.752,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-196.873,146.935,-289.793
41,2583.755,-,0003F2D6,000388FD,light,0,1,9.25,0,0,2,128,2,-196.873,146.935,-289.793
42,2630.626,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,-208.224,153.799,-304.536
43,2701.542,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-208.845,205.637,-318.181
44,2747.295,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-239.962,158.582,-319.650
45,2870.910,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-235.001,159.457,-318.000
46,2974.195,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,-187.052,155.220,-313.698
47,3063.395,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-210.961,160.340,-314.989
48,3063.409,-,00079AEF,00079AF3,heavy,0,1,3.00,3,0,12,64,7,-200.193,159.260,-319.650
49,3224.711,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-329.848,144.478,-319.650
50,3225.316,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-333.597,141.491,-318.000
51,3377.583,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-348.930,125.845,-318.000
52,3496.917,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-423.627,63.713,-319.650
53,3539.321,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-408.309,48.981,-318.000
54,4073.468,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,-555.950,-108.121,-308.935
55,4116.330,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-524.151,-88.546,-318.000
56,4116.341,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-524.151,-88.546,-319.650
57,4241.416,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,-556.851,-118.242,-304.558
58,4286.144,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-560.887,-67.304,-318.715
59,5342.164,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-513.633,-53.077,-318.000
60,5342.179,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-513.633,-53.077,-319.650
61,5503.875,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-498.497,-40.226,-318.000
62,5504.496,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-519.340,-63.762,-319.650
63,5823.129,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-486.487,-60.703,-318.000
64,5823.146,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-486.487,-60.703,-319.650
65,5997.525,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-488.030,-57.253,-318.000
66,5997.541,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-488.030,-57.253,-319.650
67,6160.991,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-494.022,-58.307,-318.000
68,6161.005,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-494.022,-58.307,-319.650
69,6332.822,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-502.476,-137.378,-318.000
70,6377.839,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-480.178,-30.215,-319.650
71,6701.313,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-504.771,-82.608,-318.000
72,6931.142,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-540.854,-99.147,-318.000
73,6954.268,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-545.193,-101.323,-319.650
74,7177.769,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-512.513,-94.314,-318.000
75,7177.787,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-512.513,-94.314,-319.650
76,7356.201,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,-561.546,-102.286,-312.594
77,7356.803,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-495.681,-80.577,-318.000
78,7356.819,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-554.318,-99.840,-319.650
79,7515.609,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-497.198,-88.948,-318.000
80,7644.663,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-420.474,-31.536,-319.650
81,7708.222,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-426.026,-67.030,-318.000
82,7809.935,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-404.357,-66.688,-319.650
83,7868.138,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-320.580,-37.897,-318.000
84,7966.503,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-306.787,-80.881,-319.650
85,8029.757,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,-206.384,37.845,-320.813
86,8136.533,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-179.443,-27.118,-319.650
87,8304.428,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-134.533,1.007,-319.650
88,8392.631,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-79.677,-7.574,-318.032
89,8447.729,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-68.445,-5.229,-319.650
90,8668.696,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-23.406,35.309,-318.000
91,8856.212,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,27.509,-23.983,-319.650
92,8856.217,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,27.509,-23.983,-318.000
93,9159.062,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,69.243,106.436,-318.000
94,9230.529,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,45.936,22.397,-319.650
95,9343.793,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,18.554,6.855,-318.000
96,9438.732,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,19.144,19.184,-319.650
97,10117.904,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,52.223,7.257,-318.000
98,10233.463,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,91.901,78.392,-319.650
99,10275.503,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,88.452,79.545,-318.000
100,10927.070,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,70.817,26.128,-318.000
101,11106.391,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,73.218,26.115,-318.000
102,11158.666,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,54.265,3.398,-319.650
103,11220.765,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,75.519,27.190,-318.000
104,11310.571,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,75.586,27.375,-319.650
105,11528.170,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,76.939,24.295,-319.650
106,11528.176,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,76.939,24.295,-318.000
107,11826.091,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,101.932,82.671,-319.650
108,11826.096,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,101.932,82.671,-318.000
109,12108.286,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,90.515,1.935,-318.000
110,12108.300,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,56.178,15.289,-319.650
111,12217.518,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,118.622,17.865,-318.000
112,12416.959,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,-0.580,31.093,-318.000
113,12442.334,-,00079AEF,00079AF3,heavy,0,1,3.00,3,0,12,64,7,-4.279,28.949,-319.650
114,12600.260,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-35.898,27.205,-318.000
115,12623.785,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-45.193,33.008,-319.650
116,12753.212,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-79.554,43.623,-318.003
117,12753.234,-,00079AEF,00079AF3,heavy,0,1,3.00,3,0,12,64,7,-131.598,40.809,-319.650
118,12938.768,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-209.983,56.458,-318.000
119,12938.785,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-209.983,56.458,-319.650
120,13198.917,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-471.445,44.527,-318.000
121,13198.933,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-471.445,44.527,-319.650
122,13369.335,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-517.853,96.973,-318.000
123,13369.349,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-517.853,96.973,-319.650
124,13413.546,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,-555.324,120.718,-307.905
125,13560.668,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-579.304,76.662,-319.650
126,13606.531,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-560.369,70.450,-318.020
127,13801.271,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-673.033,43.060,-319.650
128,13933.981,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,-689.765,29.886,-317.109
129,14088.749,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-794.212,34.435,-319.650
130,14088.753,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-794.212,34.435,-318.000
131,14267.334,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-893.824,25.244,-318.000
132,14334.491,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-909.785,21.340,-319.650
133,14421.100,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-868.885,-0.273,-318.055
