seq,t_ms,game_hour,event,phase,actor,actor_id,limb,limb_index,impact_speed,normal_speed,tangent_speed,body_speed,angular_speed,mass,limb_radius,pos_x,pos_y,pos_z,nrm_x,nrm_y,nrm_z,vel_x,vel_y,vel_z,other_layer,other_material,material_source,other_body,other_limb,manifold_first,manifold_last,dropped,state
0,1.063,0.0000,state,unknown,Proventus Avenicci,0001A67D,-,-,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
1,1.063,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC COM [COM ],0,0.000,0.000,0.000,0.000,0.000,50.0000,17.687,-278.459,-128.210,-249.165,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
2,1.063,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L Thigh [LThg],1,0.000,0.000,0.000,0.000,0.000,6.0000,20.487,-271.980,-129.403,-249.024,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
3,1.063,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R Thigh [RThg],2,0.000,0.000,0.000,0.000,0.000,6.0000,20.487,-284.986,-126.996,-249.306,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
4,1.063,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Spine [Spn0],3,0.000,0.000,0.000,0.000,0.000,4.0000,17.297,-277.522,-123.107,-245.296,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
5,1.063,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R Calf [RClf],4,0.000,0.000,0.000,0.000,0.000,6.0000,19.675,-290.141,-128.230,-284.416,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
6,1.063,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L Calf [LClf],5,0.000,0.000,0.000,0.000,0.000,6.0000,19.675,-271.391,-128.979,-284.597,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
7,1.064,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Spine1 [Spn1],6,0.000,0.000,0.000,4.515,0.000,4.0000,18.878,-277.927,-123.540,-236.567,0.0000,0.0000,0.0000,-4.036,2.023,0.014,-,-,-,0000000000000000,-,0,0,-,session_start
8,1.064,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L Foot [Lft ],7,0.000,0.000,0.000,0.000,0.000,3.0000,10.011,-269.811,-121.866,-311.565,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
9,1.064,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R Foot [Rft ],8,0.000,0.000,0.000,0.000,0.000,3.0000,10.011,-291.666,-122.607,-311.674,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
10,1.064,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Spine2 [Spn2],9,0.000,0.000,0.000,4.594,0.000,7.0000,23.052,-277.724,-122.160,-226.802,0.0000,0.0000,0.0000,-4.120,2.033,0.012,-,-,-,0000000000000000,-,0,0,-,session_start
11,1.064,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L UpperArm [LUar],10,0.000,0.000,0.000,1.537,0.113,2.0000,14.463,-264.666,-125.950,-211.848,0.0000,0.0000,0.0000,-1.480,0.326,-0.257,-,-,-,0000000000000000,-,0,0,-,session_start
12,1.064,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Neck [Neck],11,0.000,0.000,0.000,0.000,0.000,6.0000,8.431,-277.652,-123.746,-204.819,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
13,1.064,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R UpperArm [RUar],12,0.000,0.000,0.000,0.816,0.766,2.0000,14.463,-290.583,-119.743,-211.822,0.0000,0.0000,0.0000,-0.602,0.449,-0.319,-,-,-,0000000000000000,-,0,0,-,session_start
14,1.064,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Head [Head],13,0.000,0.000,0.000,1.428,0.186,4.0000,15.108,-277.996,-125.073,-197.555,0.0000,0.0000,0.0000,-1.316,0.437,-0.339,-,-,-,0000000000000000,-,0,0,-,session_start
