seq,t_ms,frame,game_hour,event,phase,actor,actor_id,limb,limb_index,impact_speed,normal_speed,tangent_speed,body_speed,angular_speed,mass,limb_radius,pos_x,pos_y,pos_z,nrm_x,nrm_y,nrm_z,vel_x,vel_y,vel_z,other_layer,other_material,material_source,other_body,other_limb,manifold_first,manifold_last,dropped,state
0,2.929,0,0.0000,state,unknown,Proventus Avenicci,0001A67D,-,-,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
1,2.937,0,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC COM [COM ],0,0.000,0.000,0.000,0.191,0.012,50.0000,17.687,-585.292,2435.817,-16.952,0.0000,0.0000,0.0000,-0.060,-0.181,-0.015,-,-,-,0000000000000000,-,0,0,-,session_start
2,2.937,0,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L Thigh [LThg],1,0.000,0.000,0.000,0.125,0.020,6.0000,20.487,-578.777,2433.731,-16.356,0.0000,0.0000,0.0000,0.125,0.001,0.003,-,-,-,0000000000000000,-,0,0,-,session_start
3,2.937,0,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R Thigh [RThg],2,0.000,0.000,0.000,0.148,0.019,6.0000,20.487,-592.419,2436.125,-17.281,0.0000,0.0000,0.0000,0.078,0.122,-0.030,-,-,-,0000000000000000,-,0,0,-,session_start
4,2.937,0,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Spine [Spn0],3,0.000,0.000,0.000,0.217,0.010,4.0000,17.297,-584.408,2441.757,-13.352,0.0000,0.0000,0.0000,0.046,-0.187,0.101,-,-,-,0000000000000000,-,0,0,-,session_start
5,2.937,0,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R Calf [RClf],4,0.000,0.000,0.000,0.058,0.011,6.0000,19.675,-597.386,2432.016,-47.614,0.0000,0.0000,0.0000,0.042,0.040,0.002,-,-,-,0000000000000000,-,0,0,-,session_start
6,2.938,0,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L Calf [LClf],5,0.000,0.000,0.000,0.187,0.043,6.0000,19.675,-574.355,2429.422,-46.875,0.0000,0.0000,0.0000,0.183,0.009,0.039,-,-,-,0000000000000000,-,0,0,-,session_start
7,2.938,0,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Spine1 [Spn1],6,0.000,0.000,0.000,0.374,0.010,4.0000,18.878,-585.033,2440.603,-4.698,0.0000,0.0000,0.0000,0.096,-0.329,0.150,-,-,-,0000000000000000,-,0,0,-,session_start
8,2.938,0,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L Foot [Lft ],7,0.000,0.000,0.000,0.477,0.075,3.0000,10.011,-572.257,2434.008,-73.854,0.0000,0.0000,0.0000,0.384,0.283,0.014,-,-,-,0000000000000000,-,0,0,-,session_start
9,2.938,0,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R Foot [Rft ],8,0.000,0.000,0.000,0.514,0.042,3.0000,10.011,-597.367,2440.087,-73.883,0.0000,0.0000,0.0000,0.513,0.019,-0.033,-,-,-,0000000000000000,-,0,0,-,session_start
10,2.938,0,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Spine2 [Spn2],9,0.000,0.000,0.000,0.470,0.011,7.0000,23.052,-585.785,2440.954,5.123,0.0000,0.0000,0.0000,0.169,-0.431,0.081,-,-,-,0000000000000000,-,0,0,-,session_start
11,2.938,0,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L UpperArm [LUar],10,0.000,0.000,0.000,1.236,0.039,2.0000,14.463,-574.720,2440.623,21.811,0.0000,0.0000,0.0000,0.632,-1.054,0.129,-,-,-,0000000000000000,-,0,0,-,session_start
12,2.938,0,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Neck [Neck],11,0.000,0.000,0.000,0.423,0.014,6.0000,8.431,-587.266,2437.141,26.760,0.0000,0.0000,0.0000,0.210,-0.325,0.173,-,-,-,0000000000000000,-,0,0,-,session_start
