seq,t_ms,game_hour,event,phase,actor,actor_id,limb,limb_index,impact_speed,normal_speed,tangent_speed,body_speed,angular_speed,mass,limb_radius,pos_x,pos_y,pos_z,nrm_x,nrm_y,nrm_z,vel_x,vel_y,vel_z,other_layer,other_material,material_source,other_body,other_limb,manifold_first,manifold_last,dropped,state
1,4738.422,0.0000,impact,animated,Thane Valdemaar Steel-Arm,6F0CD971,NPC R Hand [RHnd],17,296.142,296.142,145.132,238.850,13.219,4.6721,9.734,391.057,1993.518,39.191,0.6814,0.7094,0.1802,-168.722,-160.684,-52.562,-,Skin,shape,0000026E319C2B00,-,1,1,0,-
2,4738.424,0.0000,impact,animated,Thane Valdemaar Steel-Arm,000D0FF5,NPC Head [Head],13,296.142,296.142,145.132,67.968,0.395,4.1200,15.561,391.057,1993.518,39.191,0.6814,0.7094,0.1802,15.961,66.066,0.390,-,Skin,shape,0000026E316A8D00,-,1,1,0,-
3,4767.361,0.0000,impact,animated,Thane Valdemaar Steel-Arm,6F0CD971,NPC R Forearm [RLar],15,116.206,116.206,209.162,157.757,10.757,7.0081,13.616,391.294,1991.641,38.272,0.8148,0.5769,-0.0578,-133.545,-15.789,-82.485,-,Skin,shape,0000026E319C2B00,-,1,1,0,-
4,4767.362,0.0000,impact,animated,Thane Valdemaar Steel-Arm,000D0FF5,NPC Head [Head],13,116.206,116.206,209.162,58.171,12.054,4.1200,15.561,391.294,1991.641,38.272,0.8148,0.5769,-0.0578,27.090,-14.138,49.499,-,Skin,shape,0000026E316A9000,-,1,1,0,-
5,4884.901,0.0000,impact,animated,Thane Valdemaar Steel-Arm,000D0FF5,NPC Head [Head],13,85.335,85.335,73.155,124.855,1.768,4.1200,15.561,396.160,2006.836,31.408,-0.7267,-0.5761,0.3742,19.341,120.287,-27.305,-,Skin,shape,0000026E316A9300,-,1,1,0,-
6,4884.901,0.0000,impact,animated,Thane Valdemaar Steel-Arm,6F0CD971,NPC R UpperArm [RUar],12,85.335,85.335,73.155,98.408,3.129,2.3360,16.893,396.160,2006.836,31.408,-0.7267,-0.5761,0.3742,-40.010,88.317,16.835,-,Skin,shape,0000026E319C2B00,-,1,1,0,-
7,5029.527,0.0000,impact,animated,Thane Valdemaar Steel-Arm,6F0CD971,NPC R UpperArm [RUar],12,309.617,309.617,649.433,621.103,22.810,2.3360,16.893,393.754,2053.855,28.063,0.7084,-0.5419,0.4523,-17.813,573.296,-238.294,-,Skin,shape,0000026E319C0400,-,1,1,0,-
8,5029.528,0.0000,impact,animated,Thane Valdemaar Steel-Arm,000D0FF5,NPC L Forearm [LLar],14,309.617,309.617,649.433,141.311,2.854,2.0600,12.007,393.754,2053.855,28.063,0.7084,-0.5419,0.4523,-103.441,95.230,-14.149,-,Skin,shape,0000026E316A9300,-,1,1,0,-
9,5052.863,0.0000,impact,animated,Thane Valdemaar Steel-Arm,6F0CD971,NPC R Forearm [RLar],15,355.661,355.661,312.726,700.547,24.232,7.0081,13.616,389.042,2065.653,26.353,0.6711,-0.0849,0.7365,-158.719,597.618,-329.283,-,Skin,shape,0000026E319C0100,-,1,1,0,-
10,5052.864,0.0000,impact,animated,Thane Valdemaar Steel-Arm,000D0FF5,NPC L Hand [LHnd],16,355.661,355.661,312.726,81.839,3.105,4.1200,8.584,389.042,2065.653,26.353,0.6711,-0.0849,0.7365,-70.732,38.433,-14.747,-,Skin,shape,0000026E316A9000,-,1,1,0,-
11,5077.724,0.0000,impact,animated,Thane Valdemaar Steel-Arm,6F0CD971,NPC L Thigh [LThg],1,155.020,155.020,825.810,666.226,7.262,7.0081,23.929,373.092,2030.843,-48.928,0.9822,-0.0146,-0.1873,-205.283,622.405,-119.701,-,Skin,shape,0000026E319C2200,-,1,1,0,-
12,5077.725,0.0000,impact,animated,Thane Valdemaar Steel-Arm,000D0FF5,NPC L Calf [LClf],5,155.020,155.020,825.810,105.620,1.308,6.1800,20.265,373.092,2030.843,-48.928,0.9822,-0.0146,-0.1873,-55.907,-82.882,-34.069,-,Skin,shape,0000026E316ABA00,-,1,1,0,-
13,5104.637,0.0000,impact,animated,Thane Valdemaar Steel-Arm,000D0FF5,NPC L Forearm [LLar],14,117.824,117.824,420.575,53.976,2.164,2.0600,12.007,388.362,2061.446,14.938,-0.8381,0.1601,0.5215,-30.736,29.759,-32.911,-,Skin,shape,0000026E316A9C00,-,1,1,0,-
14,5104.637,0.0000,impact,animated,Thane Valdemaar Steel-Arm,6F0CD971,NPC Spine2 [Spn2],9,117.824,117.824,420.575,377.504,6.825,8.1761,26.925,388.362,2061.446,14.938,-0.8381,0.1601,0.5215,-108.351,357.511,-54.356,-,Skin,shape,0000026E319C0400,-,1,1,0,-
15,5104.641,0.0000,impact,animated,Thane Valdemaar Steel-Arm,6F0CD971,NPC Spine2 [Spn2],9,226.348,226.348,435.382,377.504,6.825,8.1761,26.925,384.002,2066.520,16.028,0.8229,-0.3710,-0.4303,-108.351,357.511,-54.356,-,Skin,shape,0000026E319C0100,-,1,1,0,-
