# What vanilla's own impact system played during this take.
#
# One row per collision the ragdoll path resolved to a sound, observed at the
# moment of the play rather than modelled afterwards. Times share this take's
# clock: the same t_ms the impacts CSV stamps.
#
# descriptor      the SNDR that fired - the name its wav files are found under
# branch          light = SNAM, heavy = NAM1. Vanilla's own loudness decision,
#                 which it makes on (NAM1 exists && magnitude >= threshold)
# heard           1 = it sounded, 0 = we dropped it and played ours instead
# static_atten_db the descriptor's fixed attenuation, in dB
# db_variance     +/- dB the audio engine rolls per play. NOT the roll itself
# files           how many wavs the descriptor picks between, uniformly
#
# What is deliberately absent: which of `files` was drawn, and what
# db_variance and freq_variance actually rolled. Both happen inside
# BSAudioManager after the sound handle is built and are not readable from
# outside it. A row says "one of N files, at this level, plus or minus this
# much" - it does not say which one, and anything reading it must not pretend
# otherwise.
seq,t_ms,descriptor,descriptor_id,impact_id,branch,heard,sound_level,static_atten_db,db_variance,freq_shift,freq_variance,priority,files,pos_x,pos_y,pos_z
1,4766.578,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,389.770,1993.072,39.228
2,4766.580,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,389.770,1993.072,39.228
3,4932.749,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,391.807,2009.515,38.083
4,4932.752,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,391.807,2009.515,38.083
5,5126.176,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,387.510,2063.678,14.798
6,5126.179,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,387.510,2063.678,14.798
7,5312.451,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,333.438,1829.875,-6.897
8,5312.455,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,333.438,1829.875,-6.897
9,5481.957,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,332.376,1864.221,9.426
10,5481.960,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,332.376,1864.221,9.426
11,5635.183,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,319.647,1909.964,-6.584
12,5635.185,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,319.647,1909.964,-6.584
13,5860.171,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,288.505,1924.800,-11.389
14,5860.174,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,288.505,1924.800,-11.389
15,6121.611,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,257.033,1995.650,-5.906
16,6121.614,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,257.033,1995.650,-5.906
17,6475.936,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,289.270,2044.556,24.279
18,6475.939,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,289.270,2044.556,24.279
19,6644.007,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,344.334,2030.305,11.783
20,6644.010,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,344.334,2030.305,11.783
21,7072.528,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,362.001,2016.520,16.201
22,7072.530,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,362.001,2016.520,16.201
23,7397.178,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,399.791,2250.968,-77.355
24,7612.152,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,407.025,2252.091,-77.595
25,8384.583,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,332.003,2258.597,-0.403
26,8384.586,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,332.003,2258.597,-0.403
27,9736.472,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,465.975,2031.263,13.857
28,9940.873,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,434.573,1970.579,-7.588
29,9940.876,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,434.573,1970.579,-7.588
30,10103.008,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,443.381,1960.632,-13.787
31,10103.011,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,443.381,1960.632,-13.787
32,10495.188,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,415.062,2219.544,-78.300
33,10789.094,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,456.857,1865.125,-1.678
34,10789.098,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,456.857,1865.125,-1.678
35,11699.773,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,642.693,1930.927,-40.500
36,11699.784,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,642.693,1930.927,-40.500
37,11939.541,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,558.381,2030.984,-6.773
38,11939.545,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,558.381,2030.984,-6.773
39,12086.246,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,555.435,2039.365,-5.934
40,12086.249,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,555.435,2039.365,-5.934
41,12254.250,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,566.581,2030.086,-73.965
42,12254.253,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,566.581,2030.086,-73.965
43,12415.118,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,551.307,2044.521,-3.466
44,12415.123,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,551.307,2044.521,-3.466
