seq,t_ms,game_hour,event,phase,actor,actor_id,limb,limb_index,impact_speed,normal_speed,tangent_speed,body_speed,angular_speed,mass,limb_radius,pos_x,pos_y,pos_z,nrm_x,nrm_y,nrm_z,vel_x,vel_y,vel_z,other_layer,other_material,material_source,other_body,other_limb,manifold_first,manifold_last,dropped,state
0,1.200,0.0000,state,unknown,Vayne,FE524806,-,-,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
1,1.200,0.0000,limb_sample,unknown,Vayne,FE524806,NPC COM [COM ],0,0.000,0.000,0.000,0.059,0.017,40.0000,17.972,787.490,1408.407,-224.670,0.0000,0.0000,0.0000,0.031,0.049,0.010,-,-,-,0000000000000000,-,0,0,-,session_start
2,1.200,0.0000,limb_sample,unknown,Vayne,FE524806,NPC L Thigh [LThg],1,0.000,0.000,0.000,0.103,0.015,6.0000,20.487,782.676,1402.586,-224.677,0.0000,0.0000,0.0000,-0.026,-0.096,0.026,-,-,-,0000000000000000,-,0,0,-,session_start
3,1.200,0.0000,limb_sample,unknown,Vayne,FE524806,NPC R Thigh [RThg],2,0.000,0.000,0.000,0.084,0.013,6.0000,20.487,788.033,1414.492,-224.185,0.0000,0.0000,0.0000,0.006,-0.081,0.019,-,-,-,0000000000000000,-,0,0,-,session_start
4,1.200,0.0000,limb_sample,unknown,Vayne,FE524806,NPC Spine [Spn0],3,0.000,0.000,0.000,0.074,0.033,4.0000,17.297,791.828,1407.366,-220.106,0.0000,0.0000,0.0000,0.051,-0.034,-0.042,-,-,-,0000000000000000,-,0,0,-,session_start
5,1.200,0.0000,limb_sample,unknown,Vayne,FE524806,NPC R Calf [RClf],4,0.000,0.000,0.000,0.062,0.020,6.0000,19.675,788.619,1415.865,-255.190,0.0000,0.0000,0.0000,-0.023,0.051,0.027,-,-,-,0000000000000000,-,0,0,-,session_start
6,1.200,0.0000,limb_sample,unknown,Vayne,FE524806,NPC L Calf [LClf],5,0.000,0.000,0.000,0.081,0.019,6.0000,19.675,769.926,1403.617,-252.739,0.0000,0.0000,0.0000,0.075,-0.028,-0.016,-,-,-,0000000000000000,-,0,0,-,session_start
7,1.200,0.0000,limb_sample,unknown,Vayne,FE524806,NPC Spine1 [Spn1],6,0.000,0.000,0.000,0.346,0.040,4.0000,18.878,790.636,1406.834,-211.431,0.0000,0.0000,0.0000,-0.121,-0.305,-0.110,-,-,-,0000000000000000,-,0,0,-,session_start
8,1.201,0.0000,limb_sample,unknown,Vayne,FE524806,NPC L Foot [Lft ],7,0.000,0.000,0.000,0.093,0.017,3.0000,10.011,776.130,1403.128,-279.490,0.0000,0.0000,0.0000,-0.037,-0.031,-0.080,-,-,-,0000000000000000,-,0,0,-,session_start
9,1.201,0.0000,limb_sample,unknown,Vayne,FE524806,NPC R Foot [Rft ],8,0.000,0.000,0.000,0.281,0.038,3.0000,10.011,799.101,1411.704,-280.263,0.0000,0.0000,0.0000,0.163,-0.154,0.170,-,-,-,0000000000000000,-,0,0,-,session_start
10,1.201,0.0000,limb_sample,unknown,Vayne,FE524806,NPC Spine2 [Spn2],9,0.000,0.000,0.000,0.985,0.049,7.0000,23.052,789.770,1405.871,-201.490,0.0000,0.0000,0.0000,-0.470,-0.824,-0.264,-,-,-,0000000000000000,-,0,0,-,session_start
11,1.201,0.0000,limb_sample,unknown,Vayne,FE524806,NPC L UpperArm [LUar],10,0.000,0.000,0.000,1.215,0.060,2.0000,14.463,774.370,1392.215,-192.814,0.0000,0.0000,0.0000,0.331,-0.742,-0.904,-,-,-,0000000000000000,-,0,0,-,session_start
12,1.201,0.0000,limb_sample,unknown,Vayne,FE524806,NPC Neck [Neck],11,0.000,0.000,0.000,1.691,0.052,6.0000,8.431,778.764,1403.761,-182.580,0.0000,0.0000,0.0000,-0.778,-1.362,-0.633,-,-,-,0000000000000000,-,0,0,-,session_start
