seq,t_ms,game_hour,event,phase,actor,actor_id,limb,limb_index,impact_speed,normal_speed,tangent_speed,body_speed,angular_speed,mass,limb_radius,pos_x,pos_y,pos_z,nrm_x,nrm_y,nrm_z,vel_x,vel_y,vel_z,other_layer,other_material,material_source,other_body,other_limb,manifold_first,manifold_last,dropped,state
1,4676.487,0.0000,state,unknown,Vicar Amelia,EA5EE489,-,-,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,0,ragdoll_start
2,4705.098,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC L Foot [Lft ],7,23.471,29.437,24.332,39.107,1.591,3.6000,12.013,-922.220,497.331,-319.650,0.0000,0.0000,1.0000,-12.833,-14.966,-33.774,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
3,4705.110,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC R Foot [Rft ],8,24.267,31.448,20.894,38.002,0.707,3.6000,12.013,-936.956,504.403,-319.650,0.0000,0.0000,1.0000,-15.477,-13.070,-32.152,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
4,4705.482,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC R Calf [RClf],4,5.716,5.716,11.484,57.787,1.581,7.2000,23.610,-922.393,508.400,-310.767,-0.9073,0.4205,-0.0025,-22.263,-29.754,-44.255,-,Skin,shape,00000227A34A2800,5,0,1,0,-
5,4705.482,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC L Calf [LClf],5,5.716,5.716,11.484,60.403,1.442,7.2000,23.610,-922.393,508.400,-310.767,-0.9073,0.4205,-0.0025,-25.887,-24.224,-48.904,-,Skin,shape,00000227A34A1F00,4,0,1,0,-
6,4705.752,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC R Foot [Rft ],8,16.908,31.207,33.371,42.572,4.222,3.6000,12.013,-937.158,504.261,-319.650,-0.0000,0.0000,1.0000,-25.104,-6.238,-33.812,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
7,4705.755,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC L Foot [Lft ],7,12.907,26.212,30.107,37.986,4.885,3.6000,12.013,-922.307,497.131,-319.650,0.0000,0.0000,1.0000,-3.175,-18.435,-33.060,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
8,4705.757,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC L Foot [Lft ],7,25.395,26.871,46.175,15.696,7.722,3.6000,12.013,-918.001,504.080,-319.650,-0.0000,0.0000,1.0000,-2.124,-15.551,0.107,Static,Wood,shape,00000226D82BD000,-,0,1,0,-
9,4728.875,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC L Calf [LClf],5,43.254,43.254,32.949,62.416,2.150,7.2000,23.610,-916.654,505.976,-319.650,-0.0000,0.0000,1.0000,-31.538,-23.098,-48.658,Static,Wood,shape,00000226D82BD000,-,1,1,0,-
10,4729.191,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC L Foot [Lft ],7,26.379,6.419,52.147,42.251,10.912,3.6000,12.013,-918.151,504.013,-319.650,0.0000,-0.0000,1.0000,25.496,2.887,-33.567,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
11,4729.202,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC R Foot [Rft ],8,30.232,48.211,39.628,56.511,7.641,3.6000,12.013,-937.569,504.248,-319.650,0.0000,0.0000,1.0000,-32.143,1.828,-46.444,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
12,4729.205,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC L Foot [Lft ],7,16.304,16.273,59.028,30.174,11.626,3.6000,12.013,-921.751,496.761,-319.650,0.0000,-0.0000,1.0000,23.216,-2.614,19.096,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
13,4729.781,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC R Calf [RClf],4,35.964,35.964,16.838,60.654,1.880,7.2000,23.610,-934.229,513.786,-319.650,0.0000,-0.0000,1.0000,-15.379,-36.775,-45.715,Static,Wood,shape,00000226D82BD000,-,1,1,0,-
14,4729.787,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC R Foot [Rft ],8,15.980,15.980,47.486,30.810,10.429,3.6000,12.013,-934.941,511.923,-319.650,-0.0000,-0.0000,1.0000,-28.275,5.707,10.828,Static,Wood,shape,00000226D82BD000,-,0,1,0,-
15,4730.140,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC R Foot [Rft ],8,27.821,42.217,70.532,50.438,6.407,3.6000,12.013,-938.472,504.473,-319.650,0.0000,-0.0000,1.0000,-31.246,28.910,-27.053,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
16,4754.256,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC L Foot [Lft ],7,59.669,25.602,63.905,37.192,5.422,3.6000,12.013,-921.078,496.496,-319.650,0.0000,-0.0000,1.0000,33.908,-5.769,-14.149,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
17,4754.275,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC R Foot [Rft ],8,32.518,58.922,78.414,59.230,7.926,3.6000,12.013,-939.093,504.792,-319.650,0.0000,0.0000,1.0000,-43.593,4.003,-39.898,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
18,4754.960,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC L Foot [Lft ],7,15.556,14.468,74.655,58.854,10.779,3.6000,12.013,-917.969,504.309,-319.650,-0.0000,0.0000,1.0000,17.177,10.642,-55.276,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
19,4754.965,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC R Foot [Rft ],8,30.453,60.383,79.533,57.945,8.134,3.6000,12.013,-939.907,504.968,-319.650,0.0000,0.0000,1.0000,-42.278,8.793,-38.637,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
20,4754.968,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC L Foot [Lft ],7,27.818,27.996,51.393,11.013,8.218,3.6000,12.013,-920.744,496.668,-319.650,0.0000,-0.0000,1.0000,10.190,1.989,3.675,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
21,4778.610,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC L Foot [Lft ],7,51.880,31.788,56.158,24.367,7.010,3.6000,12.013,-920.735,496.662,-319.650,-0.0000,0.0000,1.0000,20.413,11.545,-6.616,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
22,4778.622,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC R Foot [Rft ],8,39.848,72.592,81.854,57.272,9.704,3.6000,12.013,-940.295,505.101,-319.650,0.0000,0.0000,1.0000,-37.262,13.757,-41.259,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
23,4779.084,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC R Hand [RHnd],17,17.509,17.509,27.693,102.221,3.805,4.8000,10.000,-938.746,510.826,-251.885,-0.4470,0.8074,0.3850,-16.676,-40.504,-92.361,-,Skin,shape,00000227A34A2200,2,1,1,0,-
24,4779.084,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC R Thigh [RThg],2,17.509,17.509,27.693,100.491,2.310,7.2000,24.584,-938.746,510.826,-251.885,-0.4470,0.8074,0.3850,-48.189,-72.234,-50.582,-,Skin,shape,00000227A345B400,17,1,1,0,-
25,4779.371,0.0000,impact,ragdoll,Vicar Amelia,EA5EE489,NPC L Foot [Lft ],7,75.221,99.353,95.930,52.026,13.637,3.6000,12.013,-920.582,496.755,-319.650,0.0000,-0.0000,1.0000,17.561,10.905,-47.743,Static,Wood,shape,00000226D82BD000,-,0,0,0,-
