# What vanilla's own impact system played during this take.
#
# One row per collision the ragdoll path resolved to a sound, observed at the
# moment of the play rather than modelled afterwards. Times share this take's
# clock: the same t_ms the impacts CSV stamps.
#
# descriptor      the SNDR that fired - the name its wav files are found under
# branch          light = SNAM, heavy = NAM1. Vanilla's own loudness decision,
#                 which it makes on (NAM1 exists && magnitude >= threshold)
# heard           1 = it sounded, 0 = we dropped it and played ours instead
# static_atten_db the descriptor's fixed attenuation, in dB
# db_variance     +/- dB the audio engine rolls per play. NOT the roll itself
# files           how many wavs the descriptor picks between, uniformly
#
# What is deliberately absent: which of `files` was drawn, and what
# db_variance and freq_variance actually rolled. Both happen inside
# BSAudioManager after the sound handle is built and are not readable from
# outside it. A row says "one of N files, at this level, plus or minus this
# much" - it does not say which one, and anything reading it must not pretend
# otherwise.
seq,t_ms,descriptor,descriptor_id,impact_id,branch,heard,sound_level,static_atten_db,db_variance,freq_shift,freq_variance,priority,files,pos_x,pos_y,pos_z
1,4729.209,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-918.174,504.097,-319.650
2,4903.513,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-917.376,503.105,-319.650
3,5102.177,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-942.224,512.057,-319.650
4,5235.991,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-968.373,512.710,-319.650
5,5582.748,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-917.292,501.396,-319.650
6,6108.493,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-941.784,521.389,-319.650
7,6657.388,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-872.258,525.809,-319.650
8,6942.857,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-935.456,507.194,-319.650
9,14911.531,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-904.091,422.174,-318.000
10,14995.160,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-851.302,503.835,-319.650
11,15178.248,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-927.162,441.366,-318.000
12,15865.790,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-876.837,442.595,-318.000
13,15948.118,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-903.035,418.775,-319.650
14,16025.938,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-873.931,443.708,-318.000
15,16098.646,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-873.779,443.875,-319.650
16,16190.797,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-873.261,442.500,-318.000
17,16270.576,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-872.702,440.594,-319.650
18,16352.792,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-872.084,438.234,-318.000
19,16560.643,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-837.657,508.463,-319.650
20,16890.213,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-839.234,418.183,-318.000
21,19436.605,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-898.732,429.061,-318.000
22,19596.932,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-901.343,427.784,-318.000
23,19616.037,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-872.229,432.868,-319.650
24,19758.589,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-843.989,426.636,-318.000
25,20388.242,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-253.535,514.723,-319.701
26,20446.905,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-266.486,515.891,-318.000
27,20540.368,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-272.604,515.046,-319.650
28,20599.323,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-249.248,513.367,-318.000
29,20783.696,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-315.883,499.620,-318.000
30,20914.865,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-253.370,491.286,-319.650
31,20933.810,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-253.082,491.683,-318.000
32,21098.263,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-251.959,494.703,-319.650
