import_name,best_slot,verdict,inferred_slot,alts,kind,source,in_ms,len_ms,centroid,tilt,corr,fails,note
foley_cloth__naked_body_sliding_along_ground_dense_continuous_variation3-loop.wav,foley_cloth,RETRY,scrape_loop,foley_cloth,loop,"Firefly_audio_naked_body_sliding_along_ground,_dense_continuous__variation3.wav",2280,2008,7824,-19.1,0.91,"envelope std 1.5 dB, too flat/synthetic; 81 grains/s, want 8-40; tilt -19.1 dB, must lean low by 5+ (not a hiss)",scrape_loop; window swept for seam
gore_wet__A_heavy_object_glides_slowly_over_rough_stone_low_variation4-long.wav,gore_wet,RETRY,scrape_loop,gore_wet,long,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation4.wav",22,2940,2676,23.6,1.0,"49 grains/s, want 8-40; tilt +23.6 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
gore_wet__heavy_body_dragged_slowly_across_rough_stone_low_variation4-long.wav,gore_wet,RETRY,scrape_loop,gore_wet,long,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation4.wav",22,14954,2297,24.6,1.0,"tilt +24.6 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
gore_wet__heavy_side_of_raw_meat_dropped_flat_onto_a_wooden_variation3-s01.wav,gore_wet,RETRY,imp_body,"gore_wet, head_impact",single,Firefly_audio_heavy_side_of_raw_meat_dropped_flat_onto_a_wooden__variation3.wav,124,784,3446,19.2,0.95,"6 transients in lomid, slot wants 0-5",
imp_body__A_dull_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation1-s01.wav,imp_body,KEEP,imp_body,"imp_transient, surf_soft, limb_tap, gore_wet, settle_rest",single,"Firefly_audio_A_dull,_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation1.wav",19,171,3172,9.3,1.0,,satellite @268ms -32dB; satellite @370ms -29dB; satellite @504ms -28dB
imp_body__A_dull_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation2-s01.wav,imp_body,KEEP,imp_body,"surf_wood, surf_soft, limb_tap, gore_wet, settle_rest",single,"Firefly_audio_A_dull,_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation2.wav",8,186,2659,15.3,0.99,,
imp_body__bone_crack_impact_composite-long.wav,imp_body,KEEP,imp_body,"surf_soft, limb_tap",long,bone_crack_impact-composite.wav,18,500,2252,18.3,1.0,,satellite @512ms -30dB
imp_body__bone_crack_impact_composite-s01.wav,imp_body,KEEP,imp_body,"surf_wood, surf_soft, limb_tap, gore_wet, settle_rest",short,bone_crack_impact-composite.wav,18,360,2213,18.5,1.0,,satellite @512ms -30dB
imp_body__hard_flat_impact_against_cold_stone_flagstone_tig_variation1-s01.wav,imp_body,RETRY,surf_stone,"imp_body, surf_wood, surf_soft, limb_tap, gore_wet, settle_rest",single,"Firefly_audio_hard_flat_impact_against_cold_stone_flagstone,_tig_variation1.wav",22,426,1732,17.7,0.89,"tilt +17.7 dB, too bass-led (max -2) — a body take, not a transient",
imp_body__heavy_side_of_raw_meat_dropped_flat_onto_a_wooden_variation1-s01.wav,imp_body,KEEP*,imp_body,,single,Firefly_audio_heavy_side_of_raw_meat_dropped_flat_onto_a_wooden__variation1.wav,174,670,4084,16.3,1.0,"second contact at +55 ms (-2 dB), collides with imp_sub",
imp_body__sandbag_full_of_wet_sand_slammed_onto_packed_earth_variation1-s01.wav,imp_body,KEEP,imp_body,"imp_transient, limb_tap, gore_wet",short,Firefly_audio_sandbag_full_of_wet_sand_slammed_onto_packed_earth_variation1.wav,14,230,3690,7.7,0.96,,
imp_body__side_of_raw_meat_dropped_flat_onto_a_bare_wooden_f_variation2-s01.wav,imp_body,KEEP,imp_body,"imp_transient, gore_wet",single,Firefly_audio_side_of_raw_meat_dropped_flat_onto_a_bare_wooden_f_variation2.wav,133,265,3580,9.2,1.0,,
imp_body__small_sandbag_of_dropped_onto_packed_earth_quiet_variation2-s01.wav,imp_body,KEEP*,imp_body,"surf_wood, surf_soft, limb_tap, gore_wet, settle_rest",single,"Firefly_audio_small_sandbag_of_dropped_onto_packed_earth,_quiet__variation2.wav",50,214,2599,17.3,1.0,"second contact at +55 ms (-17 dB), collides with imp_sub",satellite @258ms -32dB
imp_body__weighted_leather_duffel_bag_dropped_hard_onto_a_st_variation2-s01.wav,imp_body,KEEP,imp_body,"surf_wood, surf_soft, limb_tap, gore_wet, head_impact, settle_rest",single,Firefly_audio_weighted_leather_duffel_bag_dropped_hard_onto_a_st_variation2.wav,34,326,2350,17.9,0.95,,satellite @368ms -31dB
imp_transient__A_dull_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation3-s02.wav,imp_transient,RETRY,imp_body,imp_transient,short,"Firefly_audio_A_dull,_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation3.wav",87,81,4609,6.4,0.99,"only 76 ms of event, slot wants 150-250; centroid 4609 Hz, slot wants 800-4200",satellite @162ms -33dB
imp_transient__A_heavy_wet_slap_of_soaked_cloth_and_raw_meat_wit_variation2-long.wav,imp_transient,RETRY,gore_wet,"imp_transient, surf_stone, limb_tap",long,"Firefly_audio_A_heavy_wet_slap_of_soaked_cloth_and_raw_meat,_wit_variation2.wav",194,610,6342,-12.7,0.96,"-20 dB in 16 ms, slot wants 20-350; centroid 6342 Hz, slot wants 400-4000",
imp_transient__A_heavy_wet_slap_of_soaked_cloth_and_raw_meat_wit_variation2-s01.wav,imp_transient,RETRY,gore_wet,"imp_transient, surf_stone, limb_tap",short,"Firefly_audio_A_heavy_wet_slap_of_soaked_cloth_and_raw_meat,_wit_variation2.wav",194,224,6395,-12.3,0.96,"-20 dB in 16 ms, slot wants 20-350; centroid 6395 Hz, slot wants 400-4000",
imp_transient__A_wet_thick_squelch_of_raw_meat_and_offal_single_variation1-s01.wav,imp_transient,RETRY,gore_wet,"imp_transient, surf_stone",single,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation1.wav",154,448,4409,-23.4,0.96,"only 148 ms of event, slot wants 200-400; centroid 4409 Hz, slot wants 400-4000",satellite @596ms -21dB; satellite @768ms -26dB
imp_transient__A_wet_thick_squelch_of_raw_meat_and_offal_single_variation1_1-s02.wav,imp_transient,RETRY,gore_wet,"imp_transient, surf_stone, limb_tap",short,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation1(1).wav",289,277,4596,-15.3,0.98,"-20 dB in 10 ms, slot wants 20-350; centroid 4596 Hz, slot wants 400-4000",satellite @560ms -24dB; satellite @784ms -30dB
imp_transient__A_wet_thick_squelch_of_raw_meat_and_offal_single_variation2-s02.wav,imp_transient,RETRY,gore_wet,"imp_transient, surf_stone, limb_tap",short,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation2.wav",544,128,5860,-40.2,0.96,"only 124 ms of event, slot wants 200-400; -20 dB in 18 ms, slot wants 20-350; centroid 5860 Hz, slot wants 400-4000",satellite @666ms -33dB; satellite @714ms -24dB
imp_transient__A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4-s02.wav,imp_transient,RETRY,gore_wet,"imp_transient, surf_stone",short,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4.wav",354,122,4205,-42.0,0.97,"only 118 ms of event, slot wants 200-400; -20 dB in 10 ms, slot wants 20-350; centroid 4205 Hz, slot wants 400-4000",satellite @708ms -27dB; satellite @864ms -31dB
