cut,source,kind,in_ms,out_ms,len_ms,inferred_slot,corr,note
A_dull_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation1-s01.wav,"Firefly_audio_A_dull,_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation1.wav",single,19,190,171,imp_body,1.0,satellite @268ms -32dB; satellite @370ms -29dB; satellite @504ms -28dB
A_dull_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation2-s01.wav,"Firefly_audio_A_dull,_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation2.wav",single,8,194,186,imp_body,0.99,
A_dull_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation3-s01.wav,"Firefly_audio_A_dull,_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation3.wav",short,19,104,85,imp_body,0.99,satellite @162ms -33dB
A_dull_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation3-s02.wav,"Firefly_audio_A_dull,_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation3.wav",short,87,168,81,imp_body,0.99,satellite @162ms -33dB
A_heavy_object_glides_slowly_over_rough_stone_low_variation1-loop.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation1.wav",loop,5160,7168,2008,scrape_loop,1.0,scrape_loop; window swept for seam
A_heavy_object_glides_slowly_over_rough_stone_low_variation1-long.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation1.wav",long,20,9930,9910,scrape_loop,1.0,"scrape_loop; full take, not seam-matched"
A_heavy_object_glides_slowly_over_rough_stone_low_variation2_1-loop.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation2(1).wav",loop,140,2148,2008,scrape_loop,0.99,scrape_loop; window swept for seam
A_heavy_object_glides_slowly_over_rough_stone_low_variation2_1-long.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation2(1).wav",long,0,2980,2980,scrape_loop,0.99,"scrape_loop; full take, not seam-matched"
A_heavy_object_glides_slowly_over_rough_stone_low_variation2-loop.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation2.wav",loop,400,2408,2008,scrape_loop,1.0,scrape_loop; window swept for seam
A_heavy_object_glides_slowly_over_rough_stone_low_variation2-long.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation2.wav",long,30,2986,2956,scrape_loop,1.0,"scrape_loop; full take, not seam-matched"
A_heavy_object_glides_slowly_over_rough_stone_low_variation3-loop.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation3.wav",loop,480,2488,2008,scrape_loop,1.0,scrape_loop; window swept for seam
A_heavy_object_glides_slowly_over_rough_stone_low_variation3-long.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation3.wav",long,30,2990,2960,scrape_loop,1.0,"scrape_loop; full take, not seam-matched"
A_heavy_object_glides_slowly_over_rough_stone_low_variation4_1-loop.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation4(1).wav",loop,4640,6648,2008,scrape_loop,1.0,scrape_loop; window swept for seam
A_heavy_object_glides_slowly_over_rough_stone_low_variation4_1-long.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation4(1).wav",long,18,9964,9946,scrape_loop,1.0,"scrape_loop; full take, not seam-matched"
A_heavy_object_glides_slowly_over_rough_stone_low_variation4-loop.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation4.wav",loop,840,2848,2008,scrape_loop,1.0,scrape_loop; window swept for seam
A_heavy_object_glides_slowly_over_rough_stone_low_variation4-long.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation4.wav",long,22,2962,2940,scrape_loop,1.0,"scrape_loop; full take, not seam-matched"
A_heavy_wet_slap_of_soaked_cloth_and_raw_meat_wit_variation2-s01.wav,"Firefly_audio_A_heavy_wet_slap_of_soaked_cloth_and_raw_meat,_wit_variation2.wav",short,194,418,224,gore_wet,0.96,
A_heavy_wet_slap_of_soaked_cloth_and_raw_meat_wit_variation2-s02.wav,"Firefly_audio_A_heavy_wet_slap_of_soaked_cloth_and_raw_meat,_wit_variation2.wav",short,408,804,396,gore_wet,0.96,
A_heavy_wet_slap_of_soaked_cloth_and_raw_meat_wit_variation2-long.wav,"Firefly_audio_A_heavy_wet_slap_of_soaked_cloth_and_raw_meat,_wit_variation2.wav",long,194,804,610,gore_wet,0.96,
A_heavy_wet_slap_of_soaked_cloth_and_raw_meat_wit_variation3-s01.wav,"Firefly_audio_A_heavy_wet_slap_of_soaked_cloth_and_raw_meat,_wit_variation3.wav",single,192,650,458,gore_wet,0.98,
A_quick_light_forearm_tap_on_a_hard_floor_dry_an_variation1-s01.wav,"Firefly_audio_A_quick,_light_forearm_tap_on_a_hard_floor,_dry_an_variation1.wav",single,165,298,133,limb_tap,0.98,satellite @120ms -33dB; satellite @292ms -27dB
A_quick_light_forearm_tap_on_a_hard_floor_dry_an_variation2-s01.wav,"Firefly_audio_A_quick,_light_forearm_tap_on_a_hard_floor,_dry_an_variation2.wav",single,437,598,161,limb_tap,0.97,satellite @286ms -31dB; satellite @592ms -31dB
A_soft_short_boot_heel_tap_on_stone_gritty_tick_variation2-s01.wav,"Firefly_audio_A_soft,_short_boot_heel_tap_on_stone,_gritty_tick,_variation2.wav",short,22,192,170,limb_tap,1.0,
A_soft_short_boot_heel_tap_on_stone_gritty_tick_variation2-s02.wav,"Firefly_audio_A_soft,_short_boot_heel_tap_on_stone,_gritty_tick,_variation2.wav",short,786,982,196,limb_tap,1.0,
A_soft_short_boot_heel_tap_on_stone_gritty_tick_variation3-s01.wav,"Firefly_audio_A_soft,_short_boot_heel_tap_on_stone,_gritty_tick,_variation3.wav",single,20,226,206,limb_tap,1.0,
A_soft_short_boot_heel_tap_on_stone_gritty_tick_variation4-s01.wav,"Firefly_audio_A_soft,_short_boot_heel_tap_on_stone,_gritty_tick,_variation4.wav",short,20,224,204,limb_tap,1.0,
A_soft_short_boot_heel_tap_on_stone_gritty_tick_variation4-s02.wav,"Firefly_audio_A_soft,_short_boot_heel_tap_on_stone,_gritty_tick,_variation4.wav",short,695,818,123,limb_tap,1.0,
A_steady_soft_rustle_of_heavy_woolen_cloak_fabric_variation1-loop.wav,"Firefly_audio_A_steady_soft_rustle_of_heavy_woolen_cloak_fabric,_variation1.wav",loop,300,2808,2508,foley_cloth,0.88,foley_cloth; window swept for seam
A_steady_soft_rustle_of_heavy_woolen_cloak_fabric_variation1-long.wav,"Firefly_audio_A_steady_soft_rustle_of_heavy_woolen_cloak_fabric,_variation1.wav",long,96,2878,2782,foley_cloth,0.88,"foley_cloth; full take, not seam-matched"
