cut,source,kind,in_ms,out_ms,len_ms,inferred_slot,corr,note
bone_crunch_tick_2-s01.wav,bone_crunch_tick_2.wav,short,52,150,98,,0.87,
bone_crunch_tick_2-s02.wav,bone_crunch_tick_2.wav,short,172,310,138,,0.87,
crunch_short_3-s01.wav,crunch_short_3.wav,short,20,488,468,,0.84,satellite @710ms -29dB; satellite @808ms -31dB
crunch_short_3-s02.wav,crunch_short_3.wav,short,500,594,94,,0.84,satellite @710ms -29dB; satellite @808ms -31dB
crunch_short_3-s03.wav,crunch_short_3.wav,short,584,716,132,,0.84,satellite @710ms -29dB; satellite @808ms -31dB
gore_and_crunch-s01.wav,gore_and_crunch.wav,single,120,820,700,,0.97,
gore_gristle_2-s01.wav,gore_gristle (2).wav,single,26,764,738,,0.98,satellite @758ms -31dB
gore_gristle-s01.wav,gore_gristle.wav,single,52,922,870,,0.84,
gore_wet_crunch_2-s01.wav,gore_wet_crunch_2.wav,single,56,462,406,gore_wet,0.9,satellite @638ms -25dB
gore_wet_squelsh-s01.wav,gore_wet_squelsh.wav,single,46,774,728,gore_wet,0.94,
imp-s01.wav,imp.wav,single,10,238,227,,1.0,
imp_body_heavy-s01.wav,imp_body_heavy.wav,single,0,364,364,imp_body,0.96,satellite @358ms -33dB
imp_body_light-s01.wav,imp_body_light.wav,single,40,408,368,imp_body,1.0,satellite @402ms -33dB; satellite @480ms -34dB
imp_body_light_2-s01.wav,imp_body_light_2.wav,single,92,624,532,imp_body,0.92,satellite @618ms -30dB
imp_body_light_3-s01.wav,imp_body_light_3.wav,single,36,318,282,imp_body,1.0,
imp_heavy-s01.wav,imp_heavy.wav,single,22,316,294,,0.99,
imp_heavy_2-s01.wav,imp_heavy_2.wav,short,19,140,121,,0.92,
imp_heavy_2-s02.wav,imp_heavy_2.wav,short,129,736,607,,0.92,
imp_heavy_3-s01.wav,imp_heavy_3.wav,single,20,454,434,,0.98,
imp_heavy_4_2-s01.wav,imp_heavy_4 (2).wav,single,22,450,428,,1.0,satellite @444ms -32dB
imp_heavy_4-s01.wav,imp_heavy_4.wav,single,35,348,313,,1.0,
imp_heavy_5_2-s01.wav,imp_heavy_5 (2).wav,single,22,380,358,,1.0,
imp_heavy_5-s01.wav,imp_heavy_5.wav,single,22,315,293,,1.0,
imp_heavy_6_2-s01.wav,imp_heavy_6 (2).wav,single,18,584,566,,1.0,
imp_heavy_6-s01.wav,imp_heavy_6.wav,single,20,518,498,,1.0,
imp_heavy_7-s01.wav,imp_heavy_7.wav,single,18,584,566,,1.0,
imp_metallic-s01.wav,imp_metallic.wav,single,21,557,536,,0.99,
imp_wet-s01.wav,imp_wet.wav,single,64,540,476,,0.98,
metallic_sharp-s01.wav,metallic_sharp.wav,single,24,174,150,,0.87,
metallic_sharp_2-s01.wav,metallic_sharp_2.wav,single,18,350,332,,0.95,
scrape_dirt_dead_brush-loop.wav,scrape_dirt_dead_brush.wav,loop,0,1951,1951,,0.87,scrape_limb; window swept for seam
scrape_dirt_dead_brush-long.wav,scrape_dirt_dead_brush.wav,long,0,1951,1951,,0.87,"scrape_limb; full take, not seam-matched"
scrape_grain_stone-s01.wav,scrape_grain_stone.wav,short,62,414,352,scrape_grain,0.98,satellite @566ms -30dB
scrape_grain_stone-s02.wav,scrape_grain_stone.wav,short,404,572,168,scrape_grain,0.98,satellite @566ms -30dB
scrape_long_limb_stone-loop.wav,scrape_long_limb_stone.wav,loop,800,3308,2508,,0.92,scrape_limb; window swept for seam
scrape_long_limb_stone-long.wav,scrape_long_limb_stone.wav,long,0,8358,8358,,0.92,"scrape_limb; full take, not seam-matched"
scrape_soft_carpet-loop.wav,scrape_soft_carpet.wav,loop,800,3308,2508,,0.89,scrape_limb; window swept for seam
scrape_soft_carpet-long.wav,scrape_soft_carpet.wav,long,0,6869,6869,,0.89,"scrape_limb; full take, not seam-matched"
scrape_stone_2-loop.wav,scrape_stone_2.wav,loop,560,3068,2508,,0.92,scrape_limb; window swept for seam
scrape_stone_2-long.wav,scrape_stone_2.wav,long,0,5738,5738,,0.92,"scrape_limb; full take, not seam-matched"
scrape_wood-loop.wav,scrape_wood.wav,loop,440,2948,2508,,0.9,scrape_limb; window swept for seam
scrape_wood-long.wav,scrape_wood.wav,long,0,4541,4541,,0.9,"scrape_limb; full take, not seam-matched"
